order_id,promised_delivery_date,actual_delivery_date,delivery_partner,delivery_status
ORD000060,2025-06-03,2025-06-03,Delhivery,Delivered
ORD000061,2025-10-08,2025-10-11,Shadowfax,Delivered
ORD000062,2026-06-24,2026-07-01,Ekart,Delivered
ORD000063,2026-08-19,2026-08-19,BlueDart,Delivered
ORD000064,2025-10-11,2025-10-11,Delhivery,Delivered
ORD000065,2026-03-29,2026-03-31,Ekart,Delivered
ORD000066,2025-12-24,2025-12-24,Shadowfax,Delivered
ORD000067,2025-08-13,2025-08-13,Delhivery,Delivered
ORD000068,2026-07-09,,Ekart,In Transit/Lost
ORD000069,2026-03-29,2026-04-05,Shadowfax,Delivered
ORD000070,2026-02-22,,Delhivery,In Transit/Lost
ORD000071,2026-03-08,2026-03-10,BlueDart,Delivered
ORD000072,2026-04-28,2026-04-28,Delhivery,Delivered
ORD000073,2025-08-03,2025-08-03,Shadowfax,Delivered
ORD000074,2026-06-10,2026-06-10,Shadowfax,Delivered
ORD000075,2025-03-29,2025-03-29,Shadowfax,Delivered
ORD000076,2026-06-27,2026-06-27,Ekart,Delivered
ORD000077,2025-08-29,2025-09-01,Shadowfax,Delivered
ORD000078,2025-06-16,2025-06-16,Xpressbees,Delivered
ORD000079,2025-10-24,2025-10-25,Xpressbees,Delivered
ORD000080,2025-05-02,2025-05-02,Ekart,Delivered
ORD000081,2025-10-18,2025-10-18,Delhivery,Delivered
ORD000082,2025-11-27,2025-11-27,Ekart,Delivered
ORD000083,2025-05-14,2025-05-15,BlueDart,Delivered
ORD000084,2025-11-30,2025-12-03,Delhivery,Delivered
ORD000085,2026-03-04,2026-03-06,Shadowfax,Delivered
ORD000086,2026-07-23,2026-07-24,Shadowfax,Delivered
ORD000087,2025-12-01,,Shadowfax,In Transit/Lost
ORD000088,2025-05-10,2025-05-10,Shadowfax,Delivered
ORD000089,2026-04-23,2026-04-30,Ekart,Delivered
ORD000091,2026-08-04,,Xpressbees,In Transit/Lost
ORD000092,2026-05-13,,BlueDart,In Transit/Lost
ORD000093,2025-07-09,2025-07-11,Delhivery,Delivered
ORD000094,2025-09-19,2025-09-19,Xpressbees,Delivered
ORD000095,2025-09-10,2025-09-11,Xpressbees,Delivered
ORD000096,2026-09-13,2026-09-15,Delhivery,Delivered
ORD000097,2025-12-10,2025-12-12,Delhivery,Delivered
ORD000098,2026-04-08,2026-04-08,Shadowfax,Delivered
ORD000099,2025-12-06,2025-12-06,BlueDart,Delivered
ORD000100,2025-08-22,2025-08-23,Xpressbees,Delivered
ORD000101,2025-04-12,2025-04-19,BlueDart,Delivered
ORD000102,2025-06-18,2025-06-19,Delhivery,Delivered
ORD000103,2025-12-04,2025-12-04,BlueDart,Delivered
ORD000104,2026-03-03,2026-03-06,Ekart,Delivered
ORD000105,2025-09-12,2025-09-12,Delhivery,Delivered
ORD000106,2025-04-11,2025-04-11,Ekart,Delivered
ORD000109,2026-08-11,2026-08-11,Xpressbees,Delivered
ORD000110,2025-10-05,,Ekart,In Transit/Lost
ORD000111,2025-11-10,,BlueDart,In Transit/Lost
ORD000114,2026-07-04,,Xpressbees,In Transit/Lost
ORD000115,2026-08-22,2026-08-23,Delhivery,Delivered
ORD000116,2026-03-30,,Delhivery,In Transit/Lost
ORD000118,2026-03-03,2026-03-03,Shadowfax,Delivered
ORD000119,2025-05-07,2025-05-10,Ekart,Delivered
ORD000120,2025-04-29,2025-05-06,Shadowfax,Delivered
ORD000121,2025-10-30,2025-10-30,Ekart,Delivered
ORD000122,2025-09-02,2025-09-02,Xpressbees,Delivered
ORD000124,2026-07-06,2026-07-09,Ekart,Delivered
ORD000125,2026-01-01,2026-01-01,Delhivery,Delivered
ORD000126,2026-03-21,,Ekart,In Transit/Lost
ORD000127,2025-08-12,2025-08-12,Ekart,Delivered
ORD000128,2026-06-14,2026-06-15,Delhivery,Delivered
ORD000129,2025-05-14,2025-05-15,Shadowfax,Delivered
ORD000130,2026-07-23,,Delhivery,In Transit/Lost
ORD000131,2025-09-24,,Delhivery,In Transit/Lost
ORD000132,2026-05-05,2026-05-08,Shadowfax,Delivered
ORD000133,2025-06-19,2025-06-19,Shadowfax,Delivered
ORD000134,2025-09-27,2025-09-30,Ekart,Delivered
ORD000135,2025-11-07,2025-11-07,Delhivery,Delivered
ORD000136,2025-12-04,,Delhivery,In Transit/Lost
ORD000138,2025-06-17,2025-06-17,Ekart,Delivered
ORD000139,2026-04-05,2026-04-06,BlueDart,Delivered
ORD000140,2025-10-02,2025-10-04,Xpressbees,Delivered
ORD000141,2026-04-03,2026-04-03,Ekart,Delivered
ORD000142,2025-10-20,2025-10-23,BlueDart,Delivered
ORD000143,2025-03-30,2025-03-30,BlueDart,Delivered
ORD000144,2026-05-19,2026-05-20,Delhivery,Delivered
ORD000145,2026-02-08,2026-02-15,Delhivery,Delivered
ORD000146,2025-05-07,2025-05-07,Ekart,Delivered
ORD000147,2026-03-18,2026-03-19,Shadowfax,Delivered
ORD000149,2025-09-15,2025-09-16,Delhivery,Delivered
ORD000150,2026-09-08,2026-09-15,Delhivery,Delivered
ORD000151,2026-08-15,2026-08-15,Ekart,Delivered
ORD000152,2026-05-01,2026-05-08,Xpressbees,Delivered
ORD000153,2026-04-25,2026-04-27,Delhivery,Delivered
ORD000154,2025-09-09,,BlueDart,In Transit/Lost
ORD000155,2025-06-13,2025-06-13,Xpressbees,Delivered
ORD000156,2025-11-25,2025-11-25,Xpressbees,Delivered
ORD000158,2026-07-02,2026-07-02,Ekart,Delivered
ORD000159,2025-05-25,2025-05-25,Ekart,Delivered
ORD000160,2026-08-29,2026-08-29,Shadowfax,Delivered
ORD000161,2025-10-29,,Delhivery,In Transit/Lost
ORD000162,2025-12-29,2026-01-01,Xpressbees,Delivered
ORD000163,2025-03-25,2025-03-25,Ekart,Delivered
ORD000164,2025-11-24,2025-12-01,BlueDart,Delivered
ORD000165,2026-06-18,2026-06-20,Shadowfax,Delivered
ORD000166,2025-05-29,2025-05-31,Ekart,Delivered
ORD000167,2025-11-22,2025-11-22,Ekart,Delivered
ORD000168,2026-08-31,2026-08-31,Shadowfax,Delivered
ORD000169,2025-05-16,2025-05-19,Shadowfax,Delivered
ORD000170,2025-07-20,2025-07-21,Shadowfax,Delivered
ORD000171,2026-09-05,2026-09-06,Xpressbees,Delivered
ORD000172,2025-11-05,2025-11-05,Xpressbees,Delivered
ORD000173,2026-01-14,,Xpressbees,In Transit/Lost
ORD000175,2025-10-13,2025-10-13,BlueDart,Delivered
ORD000176,2025-09-28,2025-10-01,Shadowfax,Delivered
ORD000177,2026-08-19,2026-08-22,Xpressbees,Delivered
ORD000178,2026-08-30,2026-09-02,Ekart,Delivered
ORD000179,2026-01-31,2026-01-31,Xpressbees,Delivered
ORD000180,2025-04-02,2025-04-04,Delhivery,Delivered
ORD000181,2026-06-05,,BlueDart,In Transit/Lost
ORD000182,2025-04-03,2025-04-06,Shadowfax,Delivered
ORD000184,2025-12-20,2025-12-20,Shadowfax,Delivered
ORD000185,2026-07-07,2026-07-10,Shadowfax,Delivered
ORD000186,2026-04-06,,Ekart,In Transit/Lost
ORD000187,2026-03-08,2026-03-08,Xpressbees,Delivered
ORD000188,2025-11-25,2025-11-27,Xpressbees,Delivered
ORD000189,2025-11-02,2025-11-02,Ekart,Delivered
ORD000190,2025-10-02,2025-10-02,Delhivery,Delivered
ORD000191,2026-01-11,2026-01-11,Xpressbees,Delivered
ORD000192,2025-12-30,2025-12-30,Delhivery,Delivered
ORD000193,2026-05-10,,Ekart,In Transit/Lost
ORD000194,2025-05-25,2025-05-25,Shadowfax,Delivered
ORD000195,2025-06-27,2025-06-27,Ekart,Delivered
ORD000196,2025-11-12,2025-11-19,Ekart,Delivered
ORD000197,2025-06-28,2025-07-05,Ekart,Delivered
ORD000198,2026-02-09,2026-02-11,Xpressbees,Delivered
ORD000199,2026-01-13,,Xpressbees,In Transit/Lost
ORD000200,2025-10-16,2025-10-16,Ekart,Delivered
ORD000201,2026-06-23,,Ekart,In Transit/Lost
ORD000202,2026-03-29,,BlueDart,In Transit/Lost
ORD000203,2025-11-14,2025-11-15,Xpressbees,Delivered
ORD000204,2025-08-23,2025-08-23,BlueDart,Delivered
ORD000205,2026-02-24,2026-02-24,Shadowfax,Delivered
ORD000206,2026-08-07,2026-08-07,Shadowfax,Delivered
ORD000207,2026-06-30,,Xpressbees,In Transit/Lost
ORD000208,2026-09-14,2026-09-14,Xpressbees,Delivered
ORD000209,2026-06-01,2026-06-03,Xpressbees,Delivered
ORD000210,2025-05-21,2025-05-22,Shadowfax,Delivered
ORD000211,2026-03-09,2026-03-10,Ekart,Delivered
ORD000212,2026-02-19,2026-02-20,Xpressbees,Delivered
ORD000213,2025-11-03,2025-11-05,BlueDart,Delivered
ORD000214,2025-12-19,2025-12-19,Shadowfax,Delivered
ORD000215,2026-05-04,2026-05-04,Xpressbees,Delivered
ORD000216,2026-08-07,2026-08-08,Delhivery,Delivered
ORD000217,2025-05-18,2025-05-18,Shadowfax,Delivered
ORD000218,2025-11-19,2025-11-19,Xpressbees,Delivered
ORD000220,2025-04-10,2025-04-10,Delhivery,Delivered
ORD000221,2025-08-26,2025-08-26,Xpressbees,Delivered
ORD000222,2025-11-08,2025-11-08,Shadowfax,Delivered
ORD000223,2025-07-22,2025-07-22,Delhivery,Delivered
ORD000224,2025-11-23,2025-11-23,Ekart,Delivered
ORD000225,2025-10-14,,Xpressbees,In Transit/Lost
ORD000226,2025-07-08,2025-07-08,Xpressbees,Delivered
ORD000227,2025-12-02,2025-12-04,Ekart,Delivered
ORD000228,2025-05-29,2025-05-30,Xpressbees,Delivered
ORD000231,2025-11-02,2025-11-05,Delhivery,Delivered
ORD000232,2026-06-10,2026-06-11,Ekart,Delivered
ORD000233,2026-04-07,,Shadowfax,In Transit/Lost
ORD000234,2026-04-28,,Delhivery,In Transit/Lost
ORD000235,2025-03-29,2025-03-29,Ekart,Delivered
ORD000236,2025-10-11,2025-10-18,Delhivery,Delivered
ORD000237,2025-07-22,2025-07-25,Delhivery,Delivered
ORD000238,2025-08-25,2025-08-26,Xpressbees,Delivered
ORD000239,2026-07-13,2026-07-14,BlueDart,Delivered
ORD000240,2025-08-14,2025-08-17,BlueDart,Delivered
ORD000241,2026-06-21,,Ekart,In Transit/Lost
ORD000242,2026-05-27,2026-05-27,BlueDart,Delivered
ORD000244,2025-08-03,2025-08-05,Shadowfax,Delivered
ORD000245,2026-07-24,2026-07-24,BlueDart,Delivered
ORD000246,2025-11-04,2025-11-04,Delhivery,Delivered
ORD000247,2025-04-03,2025-04-04,Xpressbees,Delivered
ORD000248,2025-06-14,,Ekart,In Transit/Lost
ORD000249,2025-10-13,2025-10-13,Shadowfax,Delivered
ORD000250,2026-06-08,2026-06-08,Ekart,Delivered
ORD000251,2026-06-09,2026-06-10,Shadowfax,Delivered
ORD000252,2026-02-12,2026-02-14,BlueDart,Delivered
ORD000253,2025-09-21,2025-09-24,BlueDart,Delivered
ORD000254,2026-08-25,2026-08-25,Xpressbees,Delivered
ORD000255,2026-09-12,2026-09-12,Shadowfax,Delivered
ORD000256,2025-07-31,2025-07-31,Xpressbees,Delivered
ORD000257,2026-08-31,,Xpressbees,In Transit/Lost
ORD000258,2025-07-07,2025-07-07,Delhivery,Delivered
ORD000260,2026-06-15,2026-06-15,Shadowfax,Delivered
ORD000261,2026-05-29,2026-05-29,Ekart,Delivered
ORD000262,2026-01-29,2026-01-31,Delhivery,Delivered
ORD000263,2025-05-31,2025-05-31,Ekart,Delivered
ORD000264,2026-03-02,2026-03-04,Delhivery,Delivered
ORD000265,2026-09-02,2026-09-02,Delhivery,Delivered
ORD000266,2025-06-26,2025-06-27,Ekart,Delivered
ORD000267,2026-07-26,2026-07-26,Ekart,Delivered
ORD000268,2025-12-28,2025-12-31,Delhivery,Delivered
ORD000269,2025-11-14,2025-11-16,Ekart,Delivered
ORD000270,2025-05-18,2025-05-18,Delhivery,Delivered
ORD000271,2026-05-30,2026-05-30,Delhivery,Delivered
ORD000272,2025-12-23,2025-12-23,Xpressbees,Delivered
ORD000273,2026-02-28,2026-02-28,Xpressbees,Delivered
ORD000275,2026-06-22,,Xpressbees,In Transit/Lost
ORD000276,2026-02-25,2026-02-25,Shadowfax,Delivered
ORD000277,2025-08-13,2025-08-15,Delhivery,Delivered
ORD000278,2026-01-15,,Ekart,In Transit/Lost
ORD000279,2026-08-18,2026-08-18,Shadowfax,Delivered
ORD000280,2025-07-12,2025-07-15,Ekart,Delivered
ORD000281,2025-05-12,2025-05-19,BlueDart,Delivered
ORD000282,2025-11-17,2025-11-17,Shadowfax,Delivered
ORD000283,2026-02-28,2026-03-07,Ekart,Delivered
ORD000285,2025-04-07,2025-04-14,Ekart,Delivered
ORD000286,2026-04-09,2026-04-12,Delhivery,Delivered
ORD000287,2026-08-02,2026-08-05,Delhivery,Delivered
ORD000288,2025-05-04,2025-05-11,Delhivery,Delivered
ORD000289,2025-10-17,,Delhivery,In Transit/Lost
ORD000290,2026-04-29,,Xpressbees,In Transit/Lost
ORD000291,2025-06-01,2025-06-04,Xpressbees,Delivered
ORD000293,2026-02-28,2026-03-02,Ekart,Delivered
ORD000294,2025-10-05,2025-10-12,Xpressbees,Delivered
ORD000295,2025-07-30,2025-08-02,Shadowfax,Delivered
ORD000297,2025-09-01,2025-09-01,Ekart,Delivered
ORD000298,2026-01-06,2026-01-09,Ekart,Delivered
ORD000299,2025-08-05,2025-08-08,Xpressbees,Delivered
ORD000301,2026-05-23,2026-05-24,Xpressbees,Delivered
ORD000303,2026-03-13,2026-03-15,Ekart,Delivered
ORD000304,2025-08-20,2025-08-23,BlueDart,Delivered
ORD000305,2026-08-12,2026-08-14,Delhivery,Delivered
ORD000306,2026-02-26,2026-02-27,Delhivery,Delivered
ORD000307,2026-03-05,,Delhivery,In Transit/Lost
ORD000308,2026-01-29,2026-01-30,Ekart,Delivered
ORD000309,2025-05-19,2025-05-22,BlueDart,Delivered
ORD000310,2025-11-28,2025-11-28,Ekart,Delivered
ORD000311,2026-02-07,2026-02-07,Delhivery,Delivered
ORD000312,2025-05-21,2025-05-24,BlueDart,Delivered
ORD000313,2025-08-24,2025-08-26,Xpressbees,Delivered
ORD000314,2026-07-19,2026-07-19,Ekart,Delivered
ORD000315,2025-05-12,2025-05-12,BlueDart,Delivered
ORD000316,2025-12-17,2025-12-18,BlueDart,Delivered
ORD000317,2025-10-07,,Xpressbees,In Transit/Lost
ORD000318,2026-06-18,2026-06-18,Xpressbees,Delivered
ORD000320,2025-12-13,,Delhivery,In Transit/Lost
ORD000322,2025-05-04,2025-05-11,Delhivery,Delivered
ORD000323,2026-08-25,2026-08-26,Shadowfax,Delivered
ORD000324,2025-05-03,2025-05-06,Ekart,Delivered
ORD000325,2026-04-01,,Shadowfax,In Transit/Lost
ORD000326,2025-10-14,2025-10-14,Delhivery,Delivered
ORD000327,2025-09-10,,Delhivery,In Transit/Lost
ORD000328,2026-07-28,2026-07-28,Xpressbees,Delivered
ORD000329,2026-06-02,2026-06-02,Xpressbees,Delivered
ORD000330,2025-06-30,2025-07-02,Shadowfax,Delivered
ORD000331,2025-03-28,2025-03-28,Xpressbees,Delivered
ORD000332,2025-06-29,2025-06-29,Ekart,Delivered
ORD000333,2026-01-25,2026-01-25,Xpressbees,Delivered
ORD000335,2025-04-11,2025-04-11,Xpressbees,Delivered
ORD000336,2026-09-03,2026-09-03,BlueDart,Delivered
ORD000337,2026-09-11,2026-09-12,Shadowfax,Delivered
ORD000338,2025-12-09,2025-12-09,Shadowfax,Delivered
ORD000339,2026-02-18,2026-02-18,BlueDart,Delivered
ORD000340,2026-01-14,2026-01-15,BlueDart,Delivered
ORD000341,2025-06-19,2025-06-26,Ekart,Delivered
ORD000343,2026-08-05,2026-08-08,Delhivery,Delivered
ORD000344,2025-07-06,2025-07-07,Shadowfax,Delivered
ORD000345,2025-04-09,2025-04-11,Xpressbees,Delivered
ORD000346,2025-04-04,2025-04-04,BlueDart,Delivered
ORD000347,2025-12-26,2025-12-28,Delhivery,Delivered
ORD000348,2025-06-14,2025-06-14,Shadowfax,Delivered
ORD000349,2026-07-04,2026-07-04,Delhivery,Delivered
ORD000351,2025-07-18,,BlueDart,In Transit/Lost
ORD000353,2025-07-19,2025-07-21,BlueDart,Delivered
ORD000354,2026-04-22,,Ekart,In Transit/Lost
ORD000355,2026-08-14,2026-08-17,Ekart,Delivered
ORD000356,2025-08-14,,Delhivery,In Transit/Lost
ORD000358,2026-08-22,2026-08-24,Shadowfax,Delivered
ORD000359,2025-09-30,,Shadowfax,In Transit/Lost
ORD000360,2026-01-17,2026-01-24,Xpressbees,Delivered
ORD000361,2025-08-28,2025-08-28,Xpressbees,Delivered
ORD000362,2026-05-02,2026-05-02,Delhivery,Delivered
ORD000364,2025-12-25,,Ekart,In Transit/Lost
ORD000365,2025-10-24,,Delhivery,In Transit/Lost
ORD000366,2025-07-08,2025-07-09,Xpressbees,Delivered
ORD000367,2025-06-27,2025-06-29,Shadowfax,Delivered
ORD000368,2026-04-01,2026-04-04,Shadowfax,Delivered
ORD000369,2026-07-16,2026-07-17,Delhivery,Delivered
ORD000370,2025-08-21,2025-08-28,Xpressbees,Delivered
ORD000371,2025-10-24,2025-10-24,Ekart,Delivered
ORD000372,2026-02-02,2026-02-05,Shadowfax,Delivered
ORD000373,2026-05-11,2026-05-18,Ekart,Delivered
ORD000374,2025-09-10,2025-09-10,Ekart,Delivered
ORD000375,2026-05-28,2026-05-28,Xpressbees,Delivered
ORD000376,2026-08-20,2026-08-20,BlueDart,Delivered
ORD000378,2026-07-15,2026-07-15,Ekart,Delivered
ORD000379,2025-11-08,2025-11-08,Delhivery,Delivered
ORD000380,2026-05-02,2026-05-04,Delhivery,Delivered
ORD000381,2026-06-08,2026-06-08,Shadowfax,Delivered
ORD000382,2026-02-22,2026-02-22,Ekart,Delivered
ORD000384,2025-11-11,2025-11-11,Delhivery,Delivered
ORD000385,2026-01-25,2026-02-01,Delhivery,Delivered
ORD000386,2025-10-12,2025-10-15,Xpressbees,Delivered
ORD000387,2026-02-28,2026-03-03,Delhivery,Delivered
ORD000388,2025-04-28,2025-04-28,Xpressbees,Delivered
ORD000389,2025-06-22,2025-06-22,Delhivery,Delivered
ORD000390,2025-04-13,2025-04-13,BlueDart,Delivered
ORD000391,2025-12-24,2025-12-24,Shadowfax,Delivered
ORD000392,2026-02-04,2026-02-04,Delhivery,Delivered
ORD000393,2025-08-28,2025-08-28,Xpressbees,Delivered
ORD000394,2026-06-12,2026-06-12,Shadowfax,Delivered
ORD000395,2026-03-09,,Ekart,In Transit/Lost
ORD000396,2026-08-26,2026-08-28,Shadowfax,Delivered
ORD000397,2025-09-29,2025-10-02,Delhivery,Delivered
ORD000398,2025-04-08,2025-04-08,Ekart,Delivered
ORD000399,2025-06-28,,Delhivery,In Transit/Lost
ORD000400,2025-09-16,,Ekart,In Transit/Lost
ORD000401,2026-05-26,2026-05-26,Shadowfax,Delivered
ORD000402,2025-10-03,2025-10-03,Xpressbees,Delivered
ORD000403,2025-05-04,2025-05-06,Xpressbees,Delivered
ORD000404,2026-03-14,2026-03-14,Shadowfax,Delivered
ORD000405,2025-10-10,,Ekart,In Transit/Lost
ORD000406,2026-05-18,2026-05-21,Xpressbees,Delivered
ORD000407,2025-05-28,2025-05-28,Delhivery,Delivered
ORD000408,2025-09-14,2025-09-14,Delhivery,Delivered
ORD000410,2025-09-17,2025-09-17,Ekart,Delivered
ORD000411,2025-11-29,2025-11-29,Delhivery,Delivered
ORD000412,2026-05-27,2026-05-30,Ekart,Delivered
ORD000413,2026-07-22,2026-07-22,Xpressbees,Delivered
ORD000414,2026-01-22,2026-01-23,Ekart,Delivered
ORD000415,2025-10-19,2025-10-20,Ekart,Delivered
ORD000416,2026-02-12,2026-02-19,Delhivery,Delivered
ORD000418,2025-05-19,2025-05-19,Ekart,Delivered
ORD000419,2025-08-20,2025-08-23,BlueDart,Delivered
ORD000421,2026-07-13,2026-07-13,Shadowfax,Delivered
ORD000422,2026-07-03,2026-07-06,BlueDart,Delivered
ORD000423,2025-05-02,2025-05-02,BlueDart,Delivered
ORD000424,2026-07-19,2026-07-19,Shadowfax,Delivered
ORD000425,2025-11-06,2025-11-06,Delhivery,Delivered
ORD000426,2026-05-06,2026-05-06,BlueDart,Delivered
ORD000427,2025-09-13,2025-09-13,Ekart,Delivered
ORD000428,2025-09-12,2025-09-14,Xpressbees,Delivered
ORD000430,2026-06-02,2026-06-02,Delhivery,Delivered
ORD000431,2025-12-20,2025-12-21,BlueDart,Delivered
ORD000432,2026-09-11,2026-09-11,Shadowfax,Delivered
ORD000434,2025-06-01,2025-06-08,Shadowfax,Delivered
ORD000435,2025-06-23,,Xpressbees,In Transit/Lost
ORD000436,2025-09-16,2025-09-16,Shadowfax,Delivered
ORD000437,2025-10-16,,Delhivery,In Transit/Lost
ORD000438,2026-01-31,2026-01-31,Shadowfax,Delivered
ORD000439,2025-08-24,2025-08-24,Xpressbees,Delivered
ORD000441,2026-06-30,2026-06-30,Xpressbees,Delivered
ORD000442,2026-09-08,2026-09-08,Xpressbees,Delivered
ORD000443,2026-07-29,2026-07-29,BlueDart,Delivered
ORD000444,2025-08-23,2025-08-26,Shadowfax,Delivered
ORD000445,2026-06-23,2026-06-23,Xpressbees,Delivered
ORD000446,2025-10-26,2025-10-29,Shadowfax,Delivered
ORD000447,2026-07-19,,Ekart,In Transit/Lost
ORD000448,2026-08-01,2026-08-01,Ekart,Delivered
ORD000449,2025-04-13,2025-04-13,Xpressbees,Delivered
ORD000450,2026-03-07,2026-03-07,Shadowfax,Delivered
ORD000451,2025-05-02,2025-05-09,BlueDart,Delivered
ORD000452,2025-05-13,2025-05-13,BlueDart,Delivered
ORD000453,2026-06-01,2026-06-02,Shadowfax,Delivered
ORD000454,2026-04-19,2026-04-22,Shadowfax,Delivered
ORD000455,2025-08-21,2025-08-22,Ekart,Delivered
ORD000456,2026-05-04,2026-05-04,Ekart,Delivered
ORD000458,2026-01-20,2026-01-23,BlueDart,Delivered
ORD000459,2025-09-11,2025-09-11,Delhivery,Delivered
ORD000460,2026-02-16,2026-02-16,Xpressbees,Delivered
ORD000461,2025-10-23,,Shadowfax,In Transit/Lost
ORD000462,2026-04-06,2026-04-07,Delhivery,Delivered
ORD000463,2025-11-26,2025-11-28,BlueDart,Delivered
ORD000464,2026-06-27,,Ekart,In Transit/Lost
ORD000465,2026-08-28,2026-08-28,Shadowfax,Delivered
ORD000466,2025-05-30,,Delhivery,In Transit/Lost
ORD000467,2025-10-12,2025-10-14,Shadowfax,Delivered
ORD000468,2026-02-19,2026-02-19,BlueDart,Delivered
ORD000469,2025-04-07,2025-04-07,Delhivery,Delivered
ORD000472,2025-05-21,2025-05-22,BlueDart,Delivered
ORD000473,2025-09-15,2025-09-15,Ekart,Delivered
ORD000474,2026-03-30,2026-03-30,Shadowfax,Delivered
ORD000475,2025-11-14,2025-11-14,Delhivery,Delivered
ORD000476,2025-06-24,2025-06-25,Xpressbees,Delivered
ORD000477,2025-07-07,2025-07-07,Delhivery,Delivered
ORD000478,2026-07-26,2026-07-26,Xpressbees,Delivered
ORD000479,2025-10-10,2025-10-13,Ekart,Delivered
ORD000480,2026-07-26,2026-07-26,Xpressbees,Delivered
ORD000481,2026-09-09,2026-09-09,Xpressbees,Delivered
ORD000482,2026-08-11,2026-08-14,BlueDart,Delivered
ORD000483,2026-07-06,2026-07-09,Ekart,Delivered
ORD000485,2026-05-21,2026-05-21,Xpressbees,Delivered
ORD000487,2026-08-19,2026-08-19,Shadowfax,Delivered
ORD000488,2025-05-02,2025-05-09,Xpressbees,Delivered
ORD000489,2025-09-19,2025-09-20,Delhivery,Delivered
ORD000490,2026-02-16,2026-02-16,Delhivery,Delivered
ORD000491,2026-06-05,2026-06-05,BlueDart,Delivered
ORD000492,2025-08-18,2025-08-19,BlueDart,Delivered
ORD000493,2025-06-23,2025-06-25,Shadowfax,Delivered
ORD000494,2025-06-08,2025-06-08,Ekart,Delivered
ORD000495,2025-11-29,2025-11-30,BlueDart,Delivered
ORD000496,2025-06-02,,Delhivery,In Transit/Lost
ORD000497,2026-07-02,2026-07-02,Ekart,Delivered
ORD000498,2026-05-03,2026-05-04,Xpressbees,Delivered
ORD000499,2026-07-15,2026-07-17,Shadowfax,Delivered
ORD000500,2026-08-27,2026-08-27,Ekart,Delivered
ORD000501,2025-11-01,2025-11-02,Delhivery,Delivered
ORD000502,2025-11-20,2025-11-23,Ekart,Delivered
ORD000503,2025-05-31,2025-06-01,Xpressbees,Delivered
