date,channel,spend,impressions,clicks
2025-05-06,Organic Search,7847.08,14267,450
2025-05-06,Influencer,11733.85,3603,1469
2025-05-06,Email,8058.26,32490,1642
2025-05-07,Instagram Ads,11609.04,27201,2513
2025-05-07,Google Ads,11076.06,25898,318
2025-05-07,Referral,8471.85,19323,389
2025-05-07,Organic Search,6070.49,49052,2090
2025-05-07,Influencer,1406.79,7797,2761
2025-05-07,Email,7735.08,37153,2817
2025-05-08,Instagram Ads,7062.3,21460,2797
2025-05-08,Google Ads,10893.55,2960,1388
2025-05-08,Referral,6316.8,13715,581
2025-05-08,Organic Search,6467.68,12681,1182
2025-05-08,Influencer,6631.51,3089,788
2025-05-08,Email,14113.95,23290,2848
2025-05-09,Instagram Ads,9752.66,33303,2273
2025-05-09,Google Ads,11182.0,23085,1003
2025-05-09,Referral,5360.64,37152,1621
2025-05-09,Organic Search,6576.75,31161,924
2025-05-09,Influencer,6684.57,2842,946
2025-05-09,Email,13853.36,7321,505
2025-05-10,Instagram Ads,9756.49,47984,731
2025-05-10,Google Ads,4520.55,37812,1809
2025-05-10,Referral,1689.55,19004,2026
2025-05-10,Organic Search,9363.34,34238,1272
2025-05-10,Influencer,13534.79,46177,2960
2025-05-10,Email,1968.73,45458,1475
2025-05-11,Instagram Ads,1461.73,39950,1733
2025-05-11,Google Ads,7934.09,46254,699
2025-05-11,Referral,7472.42,28457,628
2025-05-11,Organic Search,11948.98,35941,2460
2025-05-11,Influencer,9654.48,34491,638
2025-05-11,Email,13781.07,32783,498
2025-05-12,Instagram Ads,900.69,39811,1765
2025-05-12,Google Ads,663.28,11774,858
2025-05-12,Referral,3775.08,40787,2137
2025-05-12,Organic Search,794.61,30209,2950
2025-05-12,Influencer,14903.65,10983,2060
2025-05-12,Email,11906.28,13023,577
2025-05-13,Instagram Ads,4453.62,46795,2054
2025-05-13,Google Ads,13883.87,36413,2971
2025-05-13,Referral,10913.99,7725,1794
2025-05-13,Organic Search,2442.65,38574,1649
2025-05-13,Influencer,13825.3,41261,1877
2025-05-13,Email,14149.65,33999,1558
2025-05-14,Instagram Ads,1522.37,18590,2793
2025-05-14,Google Ads,13653.67,29950,1858
2025-05-14,Referral,7252.78,8812,1622
2025-05-14,Organic Search,3437.12,46081,1343
2025-05-14,Influencer,9424.17,13999,2194
2025-05-14,Email,1231.57,27316,632
2025-05-15,Instagram Ads,9935.04,31449,2144
2025-05-15,Google Ads,11389.43,8293,432
2025-05-15,Referral,8017.79,38600,318
2025-05-15,Organic Search,8707.04,37605,994
2025-05-15,Influencer,10451.21,19382,2966
2025-05-15,Email,10421.9,3402,584
2025-05-16,Instagram Ads,6788.64,47758,236
2025-05-16,Google Ads,10188.18,15725,1413
2025-05-16,Referral,10094.54,49024,2270
2025-05-16,Organic Search,11324.28,31445,1205
2025-05-16,Influencer,9695.44,14914,1584
2025-05-16,Email,9860.72,4982,2135
2025-05-17,Instagram Ads,12015.66,36952,1238
2025-05-17,Google Ads,2807.69,1093,1276
2025-05-17,Referral,9359.21,24750,2624
2025-05-17,Organic Search,4140.1,41418,783
2025-05-17,Influencer,7803.76,26469,1965
2025-05-17,Email,10211.11,29408,1898
2025-05-18,Instagram Ads,5079.57,35126,1726
2025-05-18,Google Ads,6430.46,34880,362
2025-05-18,Referral,5022.24,23447,2693
2025-05-18,Organic Search,3581.77,39776,582
2025-05-18,Influencer,10250.48,6710,868
2025-05-18,Email,11271.32,14289,2050
2025-05-19,Instagram Ads,3453.92,12350,1668
2025-05-19,Google Ads,10052.35,4403,2181
2025-05-19,Referral,1901.71,42656,1275
2025-05-19,Organic Search,4997.03,37833,2387
2025-05-19,Influencer,14447.35,10557,147
2025-05-19,Email,8053.27,10206,1965
2025-05-20,Instagram Ads,3887.72,40989,2432
2025-05-20,Google Ads,2082.66,9375,431
2025-05-20,Referral,5077.19,44780,2126
2025-05-20,Organic Search,6706.03,17855,2936
2025-05-20,Influencer,4503.03,35785,718
2025-05-20,Email,8672.22,29391,374
2025-05-21,Instagram Ads,12182.13,1825,1332
2025-05-21,Google Ads,2648.89,34457,1882
2025-05-21,Referral,896.79,8877,2404
2025-05-21,Organic Search,1191.14,11343,1221
2025-05-21,Influencer,6687.11,25419,673
2025-05-21,Email,13612.38,5304,2623
2025-05-22,Instagram Ads,10131.14,9260,670
2025-05-22,Google Ads,5614.88,11064,1083
2025-05-22,Referral,4711.22,31219,1749
2025-05-22,Organic Search,12099.88,40947,689
2025-05-22,Influencer,10985.9,3494,1786
2025-05-22,Email,6570.5,23959,1116
2025-05-23,Instagram Ads,5822.71,28168,2682
2025-05-23,Google Ads,13984.21,28560,2079
2025-05-23,Referral,1281.18,13428,1853
2025-05-23,Organic Search,14583.02,29825,242
2025-05-23,Influencer,1473.12,4347,2368
2025-05-23,Email,13635.63,25557,2982
2025-05-24,Instagram Ads,13249.85,32691,1497
2025-05-24,Google Ads,3887.8,34268,2214
2025-05-24,Referral,14305.95,9463,1453
2025-05-24,Organic Search,11740.79,30694,2325
2025-05-24,Influencer,4196.15,14491,1929
2025-05-24,Email,1848.63,7738,1997
2025-05-25,Instagram Ads,9881.98,5702,2820
2025-05-25,Google Ads,10485.54,37458,1485
2025-05-25,Referral,12878.93,46648,2681
2025-05-25,Organic Search,6350.36,8005,2868
2025-05-25,Influencer,1407.47,48147,1985
2025-05-25,Email,12708.05,36814,381
2025-05-26,Instagram Ads,7767.85,32961,1397
2025-05-26,Google Ads,13782.52,34088,412
2025-05-26,Referral,5711.62,39639,539
2025-05-26,Organic Search,8163.01,29137,619
2025-05-26,Influencer,3919.81,14460,1960
2025-05-26,Email,8016.04,4737,2112
2025-05-27,Instagram Ads,9894.13,5434,2405
2025-05-27,Google Ads,5778.75,6179,1461
2025-05-27,Referral,12941.39,12588,484
2025-05-27,Organic Search,638.75,4201,126
2025-05-27,Influencer,4246.2,32927,2945
2025-05-27,Email,11875.79,38439,1243
2025-05-28,Instagram Ads,1146.11,43969,1395
2025-05-28,Google Ads,13488.33,34810,1439
2025-05-28,Referral,12150.78,3519,275
2025-05-28,Organic Search,3308.5,30111,66
2025-05-28,Influencer,13387.04,28325,309
2025-05-28,Email,13930.55,20830,1782
2025-05-29,Instagram Ads,12777.62,39605,387
2025-05-29,Google Ads,1284.08,31139,2644
2025-05-29,Referral,4754.55,15236,1978
2025-05-29,Organic Search,12043.96,34180,845
2025-05-29,Influencer,6968.83,43523,1784
2025-05-29,Email,2499.11,16532,503
2025-05-30,Instagram Ads,10993.53,19026,1982
2025-05-30,Google Ads,559.85,7083,646
2025-05-30,Referral,6209.68,2179,1566
2025-05-30,Organic Search,13306.15,47217,2924
2025-05-30,Influencer,13646.96,11282,2607
2025-05-30,Email,2367.79,26408,2458
2025-05-31,Instagram Ads,2854.37,16323,1638
2025-05-31,Google Ads,2443.38,7154,1000
2025-05-31,Referral,4692.01,7666,1080
2025-05-31,Organic Search,10872.67,33722,1840
2025-05-31,Influencer,3823.43,10649,2937
2025-05-31,Email,9086.12,26820,586
2025-06-01,Instagram Ads,14922.04,8180,382
2025-06-01,Google Ads,8489.22,14246,540
2025-06-01,Referral,9027.17,46062,2182
2025-06-01,Organic Search,8377.09,13589,1543
2025-06-01,Influencer,9053.29,13573,1480
2025-06-01,Email,13929.35,13234,2808
2025-06-02,Instagram Ads,6709.91,33628,1204
2025-06-02,Google Ads,6975.98,35292,2917
2025-06-02,Referral,8177.24,10273,1266
2025-06-02,Organic Search,5303.47,41609,560
2025-06-02,Influencer,9313.65,33660,2236
2025-06-02,Email,2135.72,15192,923
2025-06-03,Instagram Ads,8736.9,33216,658
2025-06-03,Google Ads,3366.47,9527,2317
2025-06-03,Referral,8022.54,43145,971
2025-06-03,Organic Search,9472.2,47111,2915
2025-06-03,Influencer,12716.81,21947,1304
2025-06-03,Email,1843.79,14331,2220
2025-06-04,Instagram Ads,7347.96,25409,1356
2025-06-04,Google Ads,4641.4,19445,160
2025-06-04,Referral,12058.25,22984,2872
2025-06-04,Organic Search,4811.04,22165,1491
2025-06-04,Influencer,3286.32,20330,511
2025-06-04,Email,13854.01,28591,2587
2025-06-05,Instagram Ads,1088.18,32248,190
2025-06-05,Google Ads,12049.93,11364,2675
2025-06-05,Referral,4840.89,41242,530
2025-06-05,Organic Search,4522.61,7891,101
2025-06-05,Influencer,10505.85,7425,1983
2025-06-05,Email,12365.73,31089,2156
2025-06-06,Instagram Ads,8691.99,33488,1509
2025-06-06,Google Ads,11224.85,46119,1617
2025-06-06,Referral,13770.69,1035,1180
2025-06-06,Organic Search,12586.85,21538,1294
2025-06-06,Influencer,5456.63,40754,1204
2025-06-06,Email,2525.54,25230,993
2025-06-07,Instagram Ads,7257.53,30802,900
2025-06-07,Google Ads,2909.61,26984,2868
2025-06-07,Referral,8844.65,23628,873
2025-06-07,Organic Search,7039.75,17757,1329
2025-06-07,Influencer,4472.65,32215,543
2025-06-07,Email,2869.68,11420,1596
2025-06-08,Instagram Ads,13663.73,21609,349
2025-06-08,Google Ads,4706.5,42755,1041
2025-06-08,Referral,6536.92,11629,240
2025-06-08,Organic Search,1371.9,7317,638
2025-06-08,Influencer,14873.15,48086,2142
2025-06-08,Email,5919.25,21445,259
2025-06-09,Instagram Ads,2449.08,32750,119
2025-06-09,Google Ads,7866.05,38739,1502
2025-06-09,Referral,3923.16,47288,2545
2025-06-09,Organic Search,7346.42,29526,2767
2025-06-09,Influencer,4269.67,6020,890
2025-06-09,Email,14855.55,33379,1153
2025-06-10,Instagram Ads,8539.38,26691,2097
2025-06-10,Google Ads,8572.58,9536,1804
2025-06-10,Referral,12631.12,33130,1607
2025-06-10,Organic Search,9324.67,18229,1678
2025-06-10,Influencer,1504.04,22687,2999
2025-06-10,Email,13785.81,42283,2506
2025-06-11,Instagram Ads,9873.29,8319,2285
2025-06-11,Google Ads,13664.04,20302,2782
2025-06-11,Referral,4851.69,32744,2544
2025-06-11,Organic Search,4632.34,2681,1391
2025-06-11,Influencer,1052.08,49472,2872
2025-06-11,Email,5257.51,7776,1415
2025-06-12,Instagram Ads,8988.56,40653,102
2025-06-12,Google Ads,6432.57,4977,1043
2025-06-12,Referral,14046.6,28513,2644
2025-06-12,Organic Search,11862.96,11563,1939
2025-06-12,Influencer,14677.97,26247,358
2025-06-12,Email,757.2,24723,212
2025-06-13,Instagram Ads,1343.86,40269,455
2025-06-13,Google Ads,7539.15,7874,2589
2025-06-13,Referral,9616.62,17032,1855
2025-06-13,Organic Search,2664.73,7296,1939
2025-06-13,Influencer,7502.45,49896,1123
2025-06-13,Email,588.18,41317,2334
2025-06-14,Instagram Ads,8104.81,32027,2415
2025-06-14,Google Ads,6900.54,44043,919
2025-06-14,Referral,1586.14,45599,2996
2025-06-14,Organic Search,2203.53,49335,1239
2025-06-14,Influencer,5174.36,5199,1774
2025-06-14,Email,4834.99,49855,1049
2025-06-15,Instagram Ads,10500.58,39627,2215
2025-06-15,Google Ads,2390.88,36032,1012
2025-06-15,Referral,6093.29,31267,56
2025-06-15,Organic Search,1087.72,30826,1082
2025-06-15,Influencer,12802.58,37185,2295
2025-06-15,Email,6519.16,9998,2311
2025-06-16,Instagram Ads,10465.8,47556,2061
2025-06-16,Google Ads,11089.29,33082,443
2025-06-16,Referral,9020.15,36513,2289
2025-06-16,Organic Search,7167.6,13262,2646
2025-06-16,Influencer,11722.78,13673,262
2025-06-16,Email,10459.35,23346,2891
2025-06-17,Instagram Ads,13907.68,32022,2299
2025-06-17,Google Ads,6399.36,43612,435
2025-06-17,Referral,6003.41,37322,1082
2025-06-17,Organic Search,1954.1,13880,76
2025-06-17,Influencer,1036.71,41632,886
2025-06-17,Email,14011.65,11754,139
2025-06-18,Instagram Ads,6413.08,27334,778
2025-06-18,Google Ads,812.01,43661,1803
2025-06-18,Referral,7577.63,41376,2103
2025-06-18,Organic Search,3985.77,6563,2475
2025-06-18,Influencer,9591.25,47757,387
2025-06-18,Email,10991.71,2898,793
2025-06-19,Instagram Ads,12930.2,46970,2782
2025-06-19,Google Ads,10621.96,12636,2494
2025-06-19,Referral,6348.05,48306,2142
2025-06-19,Organic Search,10463.79,12576,1834
2025-06-19,Influencer,5024.26,40078,2730
2025-06-19,Email,11181.49,37645,273
2025-06-20,Instagram Ads,3848.22,23707,489
2025-06-20,Google Ads,9609.55,11563,745
2025-06-20,Referral,11279.33,21671,2681
2025-06-20,Organic Search,11855.94,6579,2917
2025-06-20,Influencer,11863.04,31326,765
2025-06-20,Email,8932.7,43293,2695
2025-06-21,Instagram Ads,3175.68,31685,2225
2025-06-21,Google Ads,3359.32,16342,1751
2025-06-21,Referral,8202.63,9352,961
2025-06-21,Organic Search,751.58,46260,951
2025-06-21,Influencer,2653.28,22451,616
2025-06-21,Email,6671.39,3671,330
2025-06-22,Instagram Ads,9708.91,36352,2666
2025-06-22,Google Ads,2051.26,13133,1051
2025-06-22,Referral,13801.39,32467,920
2025-06-22,Organic Search,8111.38,37796,2742
2025-06-22,Influencer,1387.22,6010,2629
2025-06-22,Email,2555.69,6721,607
2025-06-23,Instagram Ads,4326.74,14029,2844
2025-06-23,Google Ads,11978.56,28217,1484
2025-06-23,Referral,14191.24,7234,296
2025-06-23,Organic Search,1622.78,30028,2666
2025-06-23,Influencer,4454.93,12696,242
2025-06-23,Email,11018.51,47129,259
2025-06-24,Instagram Ads,999.27,38789,377
2025-06-24,Google Ads,1469.12,42198,1940
2025-06-24,Referral,2192.85,34059,165
2025-06-24,Organic Search,7904.4,25345,2621
2025-06-24,Influencer,2289.04,46464,308
2025-06-24,Email,12637.91,22157,145
2025-06-25,Instagram Ads,10129.97,20843,489
2025-06-25,Google Ads,2900.36,11590,1457
2025-06-25,Referral,1364.16,5968,515
2025-06-25,Organic Search,14656.68,34008,1916
2025-06-25,Influencer,11771.77,22725,295
2025-06-25,Email,14833.99,12908,1669
2025-06-26,Instagram Ads,7279.13,3722,849
2025-06-26,Google Ads,8708.66,39602,2036
2025-06-26,Referral,4071.12,1542,1847
2025-06-26,Organic Search,9438.86,7206,1214
2025-06-26,Influencer,9274.65,16768,2068
2025-06-26,Email,13711.84,8043,2508
2025-06-27,Instagram Ads,1852.08,19078,1565
2025-06-27,Google Ads,2107.03,9012,1097
2025-06-27,Referral,6030.85,36263,2104
2025-06-27,Organic Search,12005.28,8922,2076
2025-06-27,Influencer,5111.9,27839,313
2025-06-27,Email,1110.9,23894,2325
2025-06-28,Instagram Ads,3796.9,20388,2259
2025-06-28,Google Ads,10980.49,23237,2491
2025-06-28,Referral,1448.63,11432,1965
2025-06-28,Organic Search,5367.46,15931,1758
2025-06-28,Influencer,11303.14,20737,1987
2025-06-28,Email,9404.59,41479,279
2025-06-29,Instagram Ads,5632.46,16044,2846
2025-06-29,Google Ads,3297.24,48971,2755
2025-06-29,Referral,10955.52,32226,1432
2025-06-29,Organic Search,695.85,38825,336
2025-06-29,Influencer,13458.97,37087,841
2025-06-29,Email,5662.73,28637,834
2025-06-30,Instagram Ads,13821.69,25716,1156
2025-06-30,Google Ads,12731.52,42337,2635
2025-06-30,Referral,10207.31,35567,1404
2025-06-30,Organic Search,7836.92,5788,461
2025-06-30,Influencer,8407.43,23952,1894
2025-06-30,Email,7389.8,31860,145
2025-07-01,Instagram Ads,6916.37,30577,1528
