order_id,customer_id,order_date,product_id,quantity,order_value,payment_method,order_status
ORD000056,CUST00379,2026-06-27,PRD007,3,2863.95,Net Banking,Delivered
ORD000057,CUST01086,2025-10-23,PRD008,1,2874.46,UPI,Delivered
ORD000058,CUST00425,2026-06-26,PRD011,1,9598.14,Credit Card,Delivered
ORD000059,CUST00011,2026-07-29,PRD009,2,45613.4,Credit Card,Returned
ORD000060,CUST01178,2025-05-29,PRD004,3,10037.75,UPI,Delivered
ORD000061,CUST00174,2025-10-05,PRD002,2,29896.84,Credit Card,Delivered
ORD000062,CUST00867,2026-06-20,PRD011,1,9045.26,Net Banking,Delivered
ORD000063,CUST00601,2026-08-17,PRD011,2,19152.23,Debit Card,Delivered
ORD000064,CUST01071,2025-10-08,PRD006,2,2392.72,UPI,Delivered
ORD000065,CUST00092,2026-03-24,PRD004,1,3253.97,Credit Card,Delivered
ORD000066,CUST00275,2025-12-19,PRD010,2,3741.75,Credit Card,Delivered
ORD000067,CUST00865,2025-08-09,PRD002,2,28143.47,Credit Card,Delivered
ORD000068,CUST00820,2026-07-06,PRD008,1,2901.99,Credit Card,Delivered
ORD000069,CUST01098,2026-03-24,PRD004,1,3243.36,Credit Card,Delivered
ORD000070,CUST00763,2026-02-19,PRD010,3,5704.0,Credit Card,Delivered
ORD000071,CUST00860,2026-03-03,PRD003,1,40563.65,UPI,Delivered
ORD000072,CUST00507,2026-04-25,PRD002,1,13664.07,Net Banking,Delivered
ORD000073,CUST00834,2025-07-31,PRD002,1,14043.29,Debit Card,Delivered
ORD000074,CUST00560,2026-06-07,PRD003,1,39120.26,Credit Card,Delivered
ORD000075,CUST00776,2025-03-25,PRD002,1,14591.52,Debit Card,Delivered
ORD000076,CUST00875,2026-06-24,PRD008,1,2909.17,Debit Card,Delivered
ORD000077,CUST01130,2025-08-24,PRD005,2,3255.46,Debit Card,Delivered
ORD000078,CUST00798,2025-06-14,PRD003,1,41613.62,Net Banking,Returned
ORD000079,CUST01130,2025-10-22,PRD010,2,3649.2,UPI,Delivered
ORD000080,CUST01052,2025-04-29,PRD012,1,1370.49,Net Banking,Delivered
ORD000081,CUST00548,2025-10-16,PRD001,3,7024.8,Credit Card,Delivered
ORD000082,CUST00857,2025-11-25,PRD012,2,2993.88,COD,Delivered
ORD000083,CUST01029,2025-05-10,PRD005,1,1712.75,Credit Card,Delivered
ORD000084,CUST00626,2025-11-27,PRD011,1,9405.57,Debit Card,Delivered
ORD000085,CUST00185,2026-03-02,PRD011,1,9239.11,UPI,Delivered
ORD000086,CUST00339,2026-07-20,PRD010,1,1856.24,COD,Delivered
ORD000087,CUST00022,2025-11-27,PRD007,3,2916.32,COD,Delivered
ORD000088,CUST01020,2025-05-06,PRD009,3,74157.64,UPI,Delivered
ORD000089,CUST00831,2026-04-20,PRD001,2,4913.73,UPI,Delivered
ORD000090,CUST00871,2026-07-29,PRD012,2,2771.42,Net Banking,Cancelled
ORD000091,CUST00087,2026-08-01,PRD010,2,3867.87,Net Banking,Delivered
ORD000092,CUST00461,2026-05-09,PRD003,1,39272.36,Debit Card,Delivered
ORD000093,CUST00105,2025-07-06,PRD007,2,1872.78,UPI,Delivered
ORD000094,CUST00693,2025-09-14,PRD011,1,9849.79,UPI,Returned
ORD000095,CUST00595,2025-09-08,PRD005,2,,Net Banking,Delivered
ORD000096,CUST00807,2026-09-10,PRD004,1,3484.7,Net Banking,Delivered
ORD000097,CUST00073,2025-12-08,PRD008,2,,UPI,Returned
ORD000098,CUST00943,2026-04-04,PRD006,1,1169.77,Credit Card,Delivered
ORD000099,CUST00824,2025-12-03,PRD006,1,1233.02,UPI,Delivered
ORD000100,CUST01084,2025-08-18,PRD009,1,24781.78,UPI,Delivered
ORD000101,CUST00319,2025-04-10,PRD011,1,9394.42,Debit Card,Delivered
ORD000102,CUST00747,2025-06-13,PRD007,1,926.02,COD,Delivered
ORD000103,CUST00900,2025-11-29,PRD003,1,40565.09,Debit Card,Delivered
ORD000104,CUST00407,2026-03-01,PRD002,1,13699.61,COD,Delivered
ORD000105,CUST00679,2025-09-09,PRD001,1,2486.1,Debit Card,Delivered
ORD000106,CUST00244,2025-04-06,PRD007,2,1958.0,Credit Card,Delivered
ORD000107,CUST00666,2026-02-08,PRD007,2,1946.43,COD,Cancelled
ORD000108,CUST00270,2025-10-12,PRD002,1,13688.27,Debit Card,Cancelled
ORD000109,CUST01025,2026-08-08,PRD001,3,7255.83,Debit Card,Delivered
ORD000110,CUST00880,2025-10-02,PRD010,3,5685.27,Debit Card,Delivered
ORD000111,CUST00996,2025-11-08,PRD002,2,27455.66,Net Banking,Delivered
ORD000112,CUST00383,2025-12-01,PRD004,1,3451.47,Credit Card,Cancelled
ORD000113,CUST00879,2025-04-19,PRD004,2,6865.0,Net Banking,Cancelled
ORD000114,CUST00372,2026-07-02,PRD004,2,6402.28,UPI,Delivered
ORD000115,CUST00271,2026-08-17,PRD007,1,918.3,Credit Card,Delivered
ORD000116,CUST00874,2026-03-25,PRD001,2,4930.2,COD,Delivered
ORD000117,CUST00835,2025-08-13,PRD009,1,24949.31,Credit Card,Cancelled
ORD000118,CUST00689,2026-02-27,PRD007,2,1883.53,UPI,Delivered
ORD000119,CUST00624,2025-05-05,PRD002,1,14913.5,COD,Delivered
ORD000120,CUST00506,2025-04-27,PRD006,1,1169.17,Debit Card,Delivered
ORD000121,CUST00435,2025-10-25,PRD005,2,3456.43,COD,Delivered
ORD000122,CUST00379,2025-08-29,PRD005,2,3347.71,UPI,Delivered
ORD000123,CUST00028,2026-04-09,PRD011,2,18258.79,Debit Card,Cancelled
ORD000124,CUST00741,2026-07-04,PRD012,2,,Debit Card,Delivered
ORD000125,CUST00431,2025-12-29,PRD010,2,3640.72,Net Banking,Delivered
ORD000126,CUST00247,2026-03-17,PRD001,2,4940.04,Credit Card,Delivered
ORD000127,CUST00396,2025-08-08,PRD012,2,2720.65,Net Banking,Delivered
ORD000128,CUST00703,2026-06-12,PRD005,3,5268.01,Net Banking,Delivered
ORD000129,CUST00315,2025-05-09,PRD001,1,2386.67,Debit Card,Delivered
ORD000130,CUST01148,2026-07-20,PRD006,1,1262.28,COD,Delivered
ORD000131,CUST00139,2025-09-21,PRD008,2,5969.48,UPI,Delivered
ORD000132,CUST00342,2026-05-01,PRD010,1,1824.87,UPI,Delivered
ORD000133,CUST01160,2025-06-17,PRD001,3,7357.96,COD,Delivered
ORD000134,CUST01091,2025-09-25,PRD009,1,24375.84,COD,Delivered
ORD000135,CUST01152,2025-11-02,PRD007,2,1839.54,UPI,Delivered
ORD000136,CUST00328,2025-12-02,PRD010,1,1800.87,Net Banking,Delivered
ORD000137,CUST00933,2026-03-27,PRD009,3,69438.48,Credit Card,Cancelled
ORD000138,CUST00607,2025-06-15,PRD012,1,1374.75,UPI,Delivered
ORD000139,CUST01093,2026-04-01,PRD004,1,3200.93,Debit Card,Delivered
ORD000140,CUST00273,2025-09-28,PRD005,1,1663.9,Credit Card,Delivered
ORD000141,CUST01095,2026-03-30,PRD002,1,14448.06,Debit Card,Delivered
ORD000142,CUST00665,2025-10-17,PRD002,3,41685.39,Credit Card,Returned
ORD000143,CUST00837,2025-03-26,PRD010,1,1810.55,UPI,Delivered
ORD000144,CUST00729,2026-05-17,PRD004,3,9632.82,UPI,Delivered
ORD000145,CUST01101,2026-02-06,PRD011,2,19489.59,COD,Delivered
ORD000146,CUST00528,2025-05-02,PRD011,3,27615.72,COD,Delivered
ORD000147,CUST00452,2026-03-16,PRD006,1,1250.91,COD,Delivered
ORD000148,CUST00319,2026-02-16,PRD008,1,2829.23,Credit Card,Cancelled
ORD000149,CUST00982,2025-09-11,PRD002,2,27553.25,Credit Card,Delivered
ORD000150,CUST00387,2026-09-04,PRD010,2,3670.33,Debit Card,Delivered
ORD000151,CUST00044,2026-08-10,PRD005,1,1766.17,Net Banking,Returned
ORD000152,CUST00385,2026-04-26,PRD002,1,13866.96,COD,Delivered
ORD000153,CUST00206,2026-04-22,PRD012,2,2923.18,UPI,Delivered
ORD000154,CUST00205,2025-09-07,PRD007,2,1963.35,UPI,Delivered
ORD000155,CUST00271,2025-06-10,PRD004,1,3477.52,Net Banking,Delivered
ORD000156,CUST00028,2025-11-23,PRD001,1,2453.58,UPI,Delivered
ORD000157,CUST00415,2025-06-08,PRD003,2,85072.58,Credit Card,Cancelled
ORD000158,CUST00630,2026-06-30,PRD006,2,2352.72,Debit Card,Delivered
ORD000159,CUST01114,2025-05-21,PRD002,1,13653.31,Debit Card,Returned
ORD000160,CUST00211,2026-08-26,PRD009,2,,UPI,Delivered
ORD000161,CUST00465,2025-10-26,PRD007,2,1929.14,Credit Card,Delivered
ORD000162,CUST00788,2025-12-27,PRD011,3,27334.49,Credit Card,Returned
ORD000163,CUST00226,2025-03-22,PRD004,1,3247.71,UPI,Delivered
ORD000164,CUST00684,2025-11-19,PRD002,1,14878.82,UPI,Delivered
ORD000165,CUST00310,2026-06-13,PRD003,2,82554.74,COD,Delivered
ORD000166,CUST00308,2025-05-27,PRD011,3,29449.74,Debit Card,Delivered
ORD000167,CUST00213,2025-11-18,PRD005,2,3573.85,UPI,Delivered
ORD000168,CUST00005,2026-08-26,PRD003,3,118003.62,COD,Delivered
ORD000169,CUST00980,2025-05-12,PRD002,1,14938.38,Debit Card,Delivered
ORD000170,CUST00297,2025-07-17,PRD002,1,13771.89,COD,Delivered
ORD000171,CUST00723,2026-08-31,PRD006,2,2518.35,COD,Delivered
ORD000172,CUST00683,2025-11-02,PRD003,3,121040.27,Net Banking,Delivered
ORD000173,CUST01019,2026-01-09,PRD009,2,47679.16,Credit Card,Delivered
ORD000174,CUST00788,2025-06-18,PRD002,2,28578.93,Credit Card,Cancelled
ORD000175,CUST00179,2025-10-10,PRD004,1,3496.87,UPI,Delivered
ORD000176,CUST00743,2025-09-24,PRD009,2,49602.54,UPI,Delivered
ORD000177,CUST00716,2026-08-17,PRD006,1,1187.82,Net Banking,Delivered
ORD000178,CUST00863,2026-08-27,PRD004,1,3168.65,Credit Card,Returned
ORD000179,CUST00241,2026-01-26,PRD012,3,4376.97,COD,Delivered
ORD000180,CUST00762,2025-03-28,PRD001,3,7183.33,COD,Delivered
ORD000181,CUST01173,2026-06-03,PRD003,1,39306.58,Credit Card,Delivered
ORD000182,CUST00158,2025-03-29,PRD001,2,4706.36,Credit Card,Returned
ORD000183,CUST00963,2026-07-18,PRD012,1,1453.81,Debit Card,Cancelled
ORD000184,CUST00963,2025-12-17,PRD007,3,2931.48,UPI,Delivered
ORD000185,CUST00588,2026-07-02,PRD002,1,14462.72,Net Banking,Delivered
ORD000186,CUST00356,2026-04-02,PRD009,1,24580.72,COD,Delivered
ORD000187,CUST01135,2026-03-06,PRD012,1,1424.33,Credit Card,Delivered
ORD000188,CUST00868,2025-11-22,PRD003,1,40941.5,Credit Card,Delivered
ORD000189,CUST00434,2025-10-28,PRD007,2,1876.58,Net Banking,Delivered
ORD000190,CUST00159,2025-09-27,PRD012,2,2893.88,COD,Delivered
ORD000191,CUST00780,2026-01-07,PRD003,1,41479.62,Credit Card,Returned
ORD000192,CUST00553,2025-12-28,PRD002,1,14403.82,Debit Card,Delivered
ORD000193,CUST00058,2026-05-08,PRD004,1,3186.35,Credit Card,Delivered
ORD000194,CUST00631,2025-05-21,PRD001,1,2299.51,UPI,Delivered
ORD000195,CUST00493,2025-06-23,PRD005,1,1720.71,Net Banking,Delivered
ORD000196,CUST00991,2025-11-07,PRD001,1,2484.88,UPI,Delivered
ORD000197,CUST00731,2025-06-24,PRD005,2,3351.35,COD,Delivered
ORD000198,CUST00729,2026-02-05,PRD003,3,120371.21,Net Banking,Delivered
ORD000199,CUST00207,2026-01-08,PRD009,1,24489.19,COD,Delivered
ORD000200,CUST00165,2025-10-13,PRD001,1,2419.63,UPI,Delivered
ORD000201,CUST00192,2026-06-20,PRD012,1,1470.14,Credit Card,Returned
ORD000202,CUST00330,2026-03-27,PRD009,2,48041.77,Net Banking,Delivered
ORD000203,CUST00700,2025-11-12,PRD008,1,2807.16,COD,Delivered
ORD000204,CUST00082,2025-08-20,PRD012,3,4141.21,Net Banking,Delivered
ORD000205,CUST00154,2026-02-19,PRD003,2,81676.8,UPI,Delivered
ORD000206,CUST00293,2026-08-02,PRD005,2,3525.1,UPI,Returned
ORD000207,CUST01022,2026-06-26,PRD002,2,29800.18,Credit Card,Delivered
ORD000208,CUST00140,2026-09-09,PRD005,2,3270.3,Credit Card,Delivered
ORD000209,CUST00944,2026-05-30,PRD005,2,3512.78,COD,Delivered
ORD000210,CUST00288,2025-05-16,PRD002,2,28088.54,Debit Card,Delivered
ORD000211,CUST00822,2026-03-06,PRD007,2,1823.97,Debit Card,Delivered
ORD000212,CUST01050,2026-02-16,PRD010,1,1935.47,Net Banking,Delivered
ORD000213,CUST00922,2025-10-29,PRD005,3,5384.82,UPI,Delivered
ORD000214,CUST00502,2025-12-14,PRD012,2,2953.95,Debit Card,Delivered
ORD000215,CUST00770,2026-04-30,PRD003,2,78025.8,COD,Delivered
ORD000216,CUST00947,2026-08-03,PRD011,1,9467.54,Net Banking,Delivered
ORD000217,CUST00953,2025-05-13,PRD002,1,13661.61,COD,Delivered
ORD000218,CUST00888,2025-11-15,PRD004,2,6520.24,Net Banking,Delivered
ORD000219,CUST00996,2026-01-28,PRD004,3,9567.31,COD,Cancelled
ORD000220,CUST00079,2025-04-07,PRD009,1,22862.87,Credit Card,Delivered
ORD000221,CUST00656,2025-08-24,PRD010,1,1953.86,UPI,Delivered
ORD000222,CUST00741,2025-11-03,PRD007,2,1840.46,UPI,Delivered
ORD000223,CUST00867,2025-07-19,PRD005,1,1634.14,UPI,Delivered
ORD000224,CUST00561,2025-11-21,PRD007,1,970.25,COD,Delivered
ORD000225,CUST01075,2025-10-12,PRD004,3,9640.53,UPI,Returned
ORD000226,CUST00190,2025-07-04,PRD007,1,928.76,Credit Card,Delivered
ORD000227,CUST00716,2025-11-29,PRD007,2,1935.83,Credit Card,Delivered
ORD000228,CUST00895,2025-05-27,PRD006,3,3828.03,Net Banking,Delivered
ORD000229,CUST00631,2026-08-25,PRD004,1,3351.51,Credit Card,Cancelled
ORD000230,CUST00664,2026-07-27,PRD011,3,29207.24,Debit Card,Cancelled
ORD000231,CUST00030,2025-10-29,PRD003,2,81693.33,Debit Card,Delivered
ORD000232,CUST00233,2026-06-07,PRD011,2,19442.63,COD,Delivered
ORD000233,CUST00258,2026-04-05,PRD011,2,19154.84,UPI,Delivered
ORD000234,CUST00448,2026-04-25,PRD012,1,1430.96,Credit Card,Delivered
ORD000235,CUST00774,2025-03-25,PRD004,1,3215.99,Net Banking,Delivered
ORD000236,CUST00030,2025-10-09,PRD006,1,1285.58,Net Banking,Delivered
ORD000237,CUST00256,2025-07-19,PRD012,2,2834.91,COD,Delivered
ORD000238,CUST00721,2025-08-21,PRD006,2,2591.26,Debit Card,Delivered
ORD000239,CUST00233,2026-07-08,PRD003,2,78919.46,Net Banking,Delivered
ORD000240,CUST00334,2025-08-10,PRD009,2,49223.49,COD,Delivered
ORD000241,CUST00581,2026-06-16,PRD012,2,2969.78,UPI,Delivered
ORD000242,CUST00180,2026-05-24,PRD002,1,14423.43,COD,Delivered
ORD000243,CUST00213,2025-10-30,PRD008,3,8931.53,UPI,Cancelled
ORD000244,CUST00910,2025-07-29,PRD009,2,48336.62,COD,Returned
ORD000245,CUST00434,2026-07-20,PRD004,2,6378.33,COD,Delivered
ORD000246,CUST00255,2025-10-30,PRD006,2,2551.34,COD,Delivered
ORD000247,CUST00016,2025-03-29,PRD006,1,1203.86,Debit Card,Delivered
ORD000248,CUST00630,2025-06-11,PRD007,3,2967.09,COD,Delivered
ORD000249,CUST00067,2025-10-09,PRD001,1,2342.66,Net Banking,Delivered
ORD000250,CUST00651,2026-06-05,PRD006,1,1298.07,Credit Card,Delivered
ORD000251,CUST01139,2026-06-06,PRD007,1,938.39,UPI,Delivered
ORD000252,CUST01184,2026-02-07,PRD007,1,,Credit Card,Delivered
ORD000253,CUST00826,2025-09-17,PRD006,2,2398.21,Credit Card,Delivered
ORD000254,CUST01033,2026-08-20,PRD002,3,42261.24,Debit Card,Delivered
ORD000255,CUST01133,2026-09-08,PRD003,1,39100.13,COD,Delivered
ORD000256,CUST00024,2025-07-29,PRD011,2,19234.28,Net Banking,Delivered
ORD000257,CUST00162,2026-08-28,PRD010,2,3891.72,COD,Delivered
ORD000258,CUST00734,2025-07-03,PRD003,1,39652.63,Credit Card,Delivered
ORD000259,CUST01097,2026-03-03,PRD004,3,10272.41,Debit Card,Cancelled
ORD000260,CUST00106,2026-06-11,PRD005,1,1731.98,Net Banking,Delivered
ORD000261,CUST00212,2026-05-27,PRD002,2,27366.23,Credit Card,Delivered
ORD000262,CUST00579,2026-01-27,PRD005,1,1708.01,Debit Card,Delivered
ORD000263,CUST00426,2025-05-29,PRD007,1,901.29,UPI,Delivered
ORD000264,CUST00997,2026-02-27,PRD011,1,,Debit Card,Delivered
ORD000265,CUST00924,2026-08-30,PRD003,1,42584.65,Net Banking,Delivered
ORD000266,CUST00065,2025-06-22,PRD002,1,14224.92,Net Banking,Delivered
ORD000267,CUST01120,2026-07-22,PRD001,1,2312.7,UPI,Delivered
ORD000268,CUST00395,2025-12-25,PRD010,1,1902.65,Credit Card,Delivered
ORD000269,CUST00443,2025-11-12,PRD006,1,1172.93,Credit Card,Returned
ORD000270,CUST00451,2025-05-13,PRD002,3,41066.87,Debit Card,Delivered
ORD000271,CUST00987,2026-05-27,PRD004,1,3342.07,Debit Card,Delivered
ORD000272,CUST00957,2025-12-18,PRD012,2,2981.91,Credit Card,Delivered
ORD000273,CUST00513,2026-02-24,PRD003,1,42514.47,Debit Card,Delivered
ORD000274,CUST00805,2026-05-18,PRD002,2,28760.82,Credit Card,Cancelled
ORD000275,CUST00422,2026-06-19,PRD012,2,2831.96,Net Banking,Delivered
ORD000276,CUST00557,2026-02-22,PRD006,2,2437.72,Credit Card,Delivered
ORD000277,CUST01162,2025-08-08,PRD006,1,1275.53,COD,Returned
ORD000278,CUST00343,2026-01-13,PRD001,2,4703.02,Net Banking,Delivered
ORD000279,CUST01087,2026-08-15,PRD006,2,2384.94,Debit Card,Delivered
ORD000280,CUST00880,2025-07-09,PRD003,1,39624.37,Debit Card,Delivered
ORD000281,CUST00762,2025-05-10,PRD003,1,40069.0,UPI,Delivered
ORD000282,CUST00674,2025-11-12,PRD004,2,6523.23,Credit Card,Delivered
ORD000283,CUST01151,2026-02-23,PRD002,2,27634.68,Credit Card,Delivered
ORD000284,CUST00211,2026-02-04,PRD009,1,24864.68,UPI,Cancelled
ORD000285,CUST01176,2025-04-05,PRD011,2,18868.52,Debit Card,Delivered
ORD000286,CUST00406,2026-04-07,PRD004,1,3323.58,Debit Card,Returned
ORD000287,CUST00863,2026-07-31,PRD002,1,14401.19,Net Banking,Delivered
ORD000288,CUST00785,2025-05-02,PRD004,2,6310.68,Net Banking,Delivered
ORD000289,CUST00010,2025-10-13,PRD008,1,2989.06,UPI,Delivered
ORD000290,CUST01093,2026-04-25,PRD009,1,22539.78,COD,Delivered
ORD000291,CUST00195,2025-05-30,PRD007,3,2792.36,Debit Card,Delivered
ORD000292,CUST00820,2025-11-21,PRD002,2,28479.56,UPI,Cancelled
ORD000293,CUST00806,2026-02-25,PRD005,3,5123.55,UPI,Delivered
ORD000294,CUST00766,2025-09-30,PRD010,1,1808.66,UPI,Delivered
ORD000295,CUST00285,2025-07-28,PRD002,1,14585.41,Credit Card,Returned
ORD000296,CUST00349,2026-07-18,PRD002,1,14717.44,Net Banking,Cancelled
ORD000297,CUST00011,2025-08-28,PRD012,1,1466.76,UPI,Delivered
ORD000298,CUST00099,2026-01-04,PRD005,1,1742.86,COD,Delivered
ORD000299,CUST00553,2025-07-31,PRD012,1,1436.56,UPI,Delivered
ORD000300,CUST00259,2026-05-16,PRD006,1,,COD,Cancelled
ORD000301,CUST00916,2026-05-19,PRD011,1,9239.6,COD,Delivered
ORD000302,CUST01004,2026-05-11,PRD005,1,1705.94,UPI,Cancelled
ORD000303,CUST00541,2026-03-11,PRD005,3,5158.73,Credit Card,Delivered
ORD000304,CUST00422,2025-08-16,PRD012,1,1423.24,Credit Card,Delivered
ORD000305,CUST00027,2026-08-07,PRD011,1,,COD,Delivered
ORD000306,CUST00215,2026-02-22,PRD006,1,1268.03,Net Banking,Returned
ORD000307,CUST00642,2026-02-28,PRD005,3,4940.41,Net Banking,Delivered
ORD000308,CUST00217,2026-01-27,PRD003,1,40357.04,COD,Delivered
ORD000309,CUST01052,2025-05-15,PRD004,2,6492.63,Credit Card,Delivered
ORD000310,CUST00630,2025-11-23,PRD010,3,5673.73,UPI,Delivered
ORD000311,CUST00226,2026-02-05,PRD004,1,3214.54,UPI,Returned
ORD000312,CUST00976,2025-05-17,PRD011,2,18529.3,Net Banking,Delivered
ORD000313,CUST00173,2025-08-20,PRD006,2,2441.32,COD,Delivered
ORD000314,CUST01041,2026-07-17,PRD006,1,1217.13,UPI,Delivered
ORD000315,CUST00784,2025-05-10,PRD012,2,2755.0,Credit Card,Delivered
ORD000316,CUST01173,2025-12-12,PRD005,2,3424.8,UPI,Delivered
ORD000317,CUST00103,2025-10-02,PRD011,1,9218.66,UPI,Delivered
ORD000318,CUST00074,2026-06-16,PRD010,1,1905.47,Debit Card,Delivered
ORD000319,CUST00464,2025-10-18,PRD010,3,5632.33,UPI,Cancelled
ORD000320,CUST00451,2025-12-11,PRD012,3,4139.81,Credit Card,Delivered
ORD000321,CUST00712,2025-04-01,PRD011,1,9287.05,UPI,Cancelled
ORD000322,CUST00194,2025-04-29,PRD003,2,82748.29,Debit Card,Delivered
ORD000323,CUST00489,2026-08-20,PRD003,1,39415.66,Debit Card,Delivered
ORD000324,CUST00933,2025-05-01,PRD003,1,40539.12,UPI,Delivered
ORD000325,CUST00364,2026-03-27,PRD005,1,1755.87,UPI,Delivered
ORD000326,CUST01173,2025-10-09,PRD006,2,2465.06,Credit Card,Delivered
ORD000327,CUST00968,2025-09-06,PRD002,1,14349.94,Debit Card,Returned
ORD000328,CUST00468,2026-07-24,PRD009,2,45731.09,UPI,Delivered
ORD000329,CUST00205,2026-05-31,PRD005,3,5122.11,Debit Card,Delivered
ORD000330,CUST01118,2025-06-26,PRD005,3,5053.91,UPI,Delivered
ORD000331,CUST00723,2025-03-26,PRD005,3,5136.77,Net Banking,Delivered
ORD000332,CUST00992,2025-06-25,PRD002,1,14591.35,UPI,Delivered
ORD000333,CUST00303,2026-01-21,PRD007,1,913.25,COD,Delivered
ORD000334,CUST00064,2026-02-11,PRD004,2,6979.31,Debit Card,Cancelled
ORD000335,CUST00423,2025-04-06,PRD012,1,1492.23,UPI,Delivered
ORD000336,CUST00561,2026-08-29,PRD011,3,29734.2,Net Banking,Delivered
ORD000337,CUST00359,2026-09-08,PRD005,3,5036.05,Net Banking,Delivered
ORD000338,CUST00855,2025-12-07,PRD005,1,1723.36,Debit Card,Delivered
ORD000339,CUST00252,2026-02-15,PRD007,2,1956.55,Debit Card,Delivered
ORD000340,CUST00591,2026-01-10,PRD002,1,14527.32,COD,Delivered
