ticket_id,customer_id,order_id,issue_type,ticket_date,resolution_time_hours,satisfaction_score
TCK00100,CUST00248,ORD003126,Refund Request,01-06-2025,20.5,3
TCK00101,CUST00465,ORD005263,Refund Request,24-02-2026,5.8,
TCK00102,CUST00275,ORD002458,Damaged Product,13-08-2026,21.2,4
TCK00103,CUST00543,ORD002441,Wrong Item,22-11-2025,91.8,5
TCK00104,CUST01178,ORD004237,Refund Request,30-08-2025,64.4,1
TCK00105,CUST00248,ORD001074,Wrong Item,26-08-2025,37.7,5
TCK00106,CUST00871,ORD000090,Refund Request,29-07-2026,79.6,
TCK00107,CUST00885,ORD005616,Refund Request,24-08-2025,32.7,5
TCK00108,CUST00333,ORD002490,Late Delivery,01-09-2026,87.2,1
TCK00109,CUST00302,ORD005009,Late Delivery,11-05-2026,22.5,1
TCK00110,CUST00727,ORD002037,Product Query,31-08-2025,60.5,4
TCK00111,CUST01060,ORD003108,Late Delivery,21-01-2026,52.9,2
TCK00112,CUST00158,ORD003282,Wrong Item,31-07-2026,49.1,
TCK00113,CUST00665,ORD005250,Refund Request,03-12-2025,38.1,1
TCK00114,CUST00575,ORD003250,Refund Request,06-06-2026,15.9,3
TCK00115,CUST00296,ORD002931,Refund Request,30-11-2025,6.5,2
TCK00116,CUST00180,ORD003977,Late Delivery,26-07-2026,9.5,3
TCK00117,CUST00338,ORD005825,Product Query,31-10-2025,90.5,5
TCK00118,CUST00726,ORD001924,Wrong Item,26-01-2026,77.4,4
TCK00119,CUST00693,ORD002711,Damaged Product,30-11-2025,80.8,3
TCK00120,CUST01071,ORD001457,Damaged Product,30-08-2025,46.3,5
TCK00121,CUST00311,ORD005901,Product Query,08-12-2025,26.6,
TCK00122,CUST00410,ORD005954,Missing Item,02-03-2026,54.7,3
TCK00123,CUST01115,ORD002241,Late Delivery,02-08-2025,2.4,1
TCK00124,CUST00228,ORD004115,Product Query,23-06-2025,46.3,4
TCK00125,CUST00468,ORD005340,Late Delivery,09-11-2025,91.1,3
TCK00126,CUST00957,ORD001887,Damaged Product,24-09-2025,77.2,
TCK00127,CUST00193,ORD003227,Refund Request,23-08-2026,63.7,1
TCK00128,CUST00015,ORD004322,Missing Item,14-08-2026,17.5,3
TCK00129,CUST00829,ORD002699,Wrong Item,23-10-2025,77,4
TCK00130,CUST00430,ORD004125,Damaged Product,18-03-2026,10.2,3
TCK00131,CUST00209,ORD002394,Missing Item,25-04-2026,32.8,3
TCK00132,CUST01031,ORD002651,Missing Item,20-06-2026,3.9,2
TCK00133,CUST00047,ORD003088,Refund Request,11-09-2026,54.2,
TCK00134,CUST00909,ORD000418,Missing Item,15-05-2025,18.5,1
TCK00135,CUST00857,ORD004124,Late Delivery,12-08-2025,53.5,1
TCK00136,CUST00385,ORD001262,Wrong Item,30-07-2025,88.8,5
TCK00137,CUST00044,ORD000424,Missing Item,16-07-2026,86,5
TCK00138,CUST00305,ORD004015,Late Delivery,15-01-2026,19.1,1
TCK00139,CUST00495,ORD001088,Refund Request,23-07-2025,61.6,3
TCK00140,CUST00535,ORD003542,Missing Item,15-10-2025,66.3,1
TCK00141,CUST00572,ORD001423,Late Delivery,08-09-2025,77.4,2
TCK00142,CUST00965,ORD000564,Wrong Item,20-12-2025,26,1
TCK00143,CUST00643,ORD005436,Product Query,14-11-2025,54.7,1
TCK00144,CUST00250,ORD004990,Missing Item,04-11-2025,76.8,4
TCK00145,CUST00377,ORD001825,Damaged Product,16-12-2025,86.9,2
TCK00146,CUST00735,ORD002308,Refund Request,20-06-2025,82.5,4
TCK00147,CUST00274,ORD000840,Refund Request,18-10-2025,77.7,1
TCK00148,CUST00283,ORD002303,Missing Item,07-06-2025,84.1,1
TCK00149,CUST00981,ORD000887,Refund Request,12-09-2025,73.4,4
TCK00150,CUST00667,ORD001142,Damaged Product,26-12-2025,89.3,
TCK00151,CUST00079,ORD003259,Damaged Product,25-09-2025,68.6,3
TCK00152,CUST00918,ORD005882,Damaged Product,08-07-2025,34.7,1
TCK00153,CUST00623,ORD005827,Product Query,19-02-2026,22.8,5
TCK00154,CUST01058,ORD000743,Missing Item,06-05-2025,27.2,
TCK00155,CUST00798,ORD005255,Missing Item,03-02-2026,10.2,3
TCK00156,CUST00227,ORD001663,Missing Item,08-08-2026,27.6,4
TCK00157,CUST00775,ORD004060,Product Query,05-12-2025,2.9,2
TCK00158,CUST01132,ORD001399,Product Query,20-06-2026,95.3,2
TCK00159,CUST00061,ORD004551,Late Delivery,13-08-2025,22.4,4
TCK00160,CUST00903,ORD003296,Wrong Item,07-07-2025,71.2,3
TCK00161,CUST00342,ORD003329,Refund Request,05-07-2026,11.4,
TCK00162,CUST00018,ORD003172,Late Delivery,20-03-2026,15.8,3
TCK00163,CUST00585,ORD002879,Missing Item,19-06-2026,68.4,1
TCK00164,CUST00735,ORD005747,Wrong Item,15-01-2026,89.5,1
TCK00165,CUST00705,ORD004456,Late Delivery,20-01-2026,84.5,1
TCK00166,CUST00395,ORD002753,Wrong Item,07-02-2026,40.4,5
TCK00167,CUST00449,ORD001172,Product Query,19-06-2026,13.7,4
TCK00168,CUST00531,ORD002023,Late Delivery,04-05-2025,52.3,2
TCK00169,CUST00959,ORD004053,Late Delivery,15-12-2025,90.9,2
TCK00170,CUST00821,ORD004032,Refund Request,29-05-2026,23.8,2
TCK00171,CUST00526,ORD002528,Missing Item,17-05-2025,62.8,5
TCK00172,CUST01003,ORD001108,Refund Request,29-06-2026,75.8,5
TCK00173,CUST01180,ORD005564,Late Delivery,30-04-2025,39.7,
TCK00174,CUST00798,ORD000078,Refund Request,14-06-2025,93.1,5
TCK00175,CUST00431,ORD003562,Late Delivery,19-05-2026,31.9,4
TCK00176,CUST00960,ORD003924,Product Query,21-02-2026,60.8,3
TCK00177,CUST00116,ORD002237,Refund Request,07-02-2026,5.9,5
TCK00178,CUST00718,ORD005432,Wrong Item,09-09-2026,84.4,5
TCK00179,CUST01012,ORD002038,Late Delivery,07-08-2025,47.7,
TCK00180,CUST00067,ORD003449,Product Query,20-04-2025,41.8,5
TCK00181,CUST00193,ORD001845,Damaged Product,18-04-2026,18.1,
TCK00182,CUST01078,ORD003161,Wrong Item,22-01-2026,57.5,3
TCK00183,CUST00702,ORD003611,Late Delivery,14-08-2026,78.8,
TCK00184,CUST00086,ORD003498,Product Query,07-01-2026,25.2,2
TCK00185,CUST01093,ORD004546,Damaged Product,16-02-2026,45,
TCK00186,CUST00401,ORD000045,Product Query,25-06-2025,30.3,4
TCK00187,CUST00449,ORD000504,Product Query,30-12-2025,25.9,5
TCK00188,CUST00496,ORD001118,Missing Item,04-04-2025,69.4,
TCK00189,CUST01142,ORD002267,Wrong Item,28-08-2026,77.9,2
TCK00190,CUST00543,ORD003420,Damaged Product,12-04-2025,46.6,4
TCK00191,CUST01137,ORD004932,Damaged Product,02-04-2026,84.5,3
TCK00192,CUST00472,ORD004077,Missing Item,05-10-2025,37.7,3
TCK00193,CUST00595,ORD003807,Missing Item,11-05-2025,4,
TCK00194,CUST00711,ORD004458,Wrong Item,02-09-2025,53.8,1
TCK00195,CUST00680,ORD003515,Damaged Product,02-07-2025,95.9,5
TCK00196,CUST00990,ORD003620,Wrong Item,09-06-2025,43.2,5
TCK00197,CUST00700,ORD000891,Damaged Product,25-10-2025,4,1
TCK00198,CUST00424,ORD005468,Product Query,17-12-2025,68.6,5
TCK00199,CUST00397,ORD004307,Damaged Product,30-05-2026,67,2
TCK00200,CUST00063,ORD004961,Refund Request,10-05-2026,51.2,1
TCK00201,CUST00963,ORD000751,Damaged Product,14-11-2025,5.2,4
TCK00202,CUST00763,ORD001546,Damaged Product,18-05-2026,49.3,
TCK00203,CUST00880,ORD000280,Late Delivery,09-07-2025,27.3,3
TCK00204,CUST00535,ORD001001,Late Delivery,08-05-2026,31,2
TCK00205,CUST00968,ORD001989,Missing Item,19-04-2026,13.7,4
TCK00206,CUST01190,ORD001636,Refund Request,12-11-2025,13.7,
TCK00207,CUST00196,ORD005682,Damaged Product,21-02-2026,54.5,3
TCK00208,CUST01146,ORD002839,Damaged Product,24-04-2025,92,1
TCK00209,CUST00122,ORD003247,Damaged Product,09-07-2026,55,3
TCK00210,CUST00363,ORD004050,Missing Item,15-07-2025,66.2,2
TCK00211,CUST00246,ORD001915,Refund Request,05-03-2026,34.6,5
TCK00212,CUST00647,ORD004583,Missing Item,16-02-2026,89.9,1
TCK00213,CUST00946,ORD002391,Refund Request,26-04-2025,33.4,1
TCK00214,CUST00723,ORD000331,Late Delivery,26-03-2025,77.5,2
TCK00215,CUST00225,ORD001282,Missing Item,05-01-2026,84.4,1
TCK00216,CUST00298,ORD002375,Damaged Product,21-05-2026,1.7,5
TCK00217,CUST00617,ORD000363,Product Query,13-12-2025,72.1,
TCK00218,CUST00869,ORD003688,Refund Request,27-05-2026,62,3
TCK00219,CUST00977,ORD005693,Missing Item,24-04-2025,75.8,3
TCK00220,CUST00844,ORD002937,Wrong Item,28-04-2025,44.5,4
TCK00221,CUST00496,ORD003099,Wrong Item,05-03-2026,16.2,5
TCK00222,CUST00340,ORD005338,Late Delivery,12-11-2025,32,4
TCK00223,CUST00789,ORD002574,Product Query,11-07-2026,92.6,
TCK00224,CUST01134,ORD002124,Wrong Item,09-10-2025,8.4,3
TCK00225,CUST00103,ORD000621,Product Query,26-08-2026,23,3
TCK00226,CUST01090,ORD001473,Product Query,22-05-2025,54.1,
TCK00227,CUST00548,ORD000081,Damaged Product,16-10-2025,69.5,4
TCK00228,CUST00133,ORD004709,Wrong Item,15-12-2025,14.6,4
TCK00229,CUST00205,ORD000154,Missing Item,07-09-2025,81.9,5
TCK00230,CUST00914,ORD002821,Missing Item,20-11-2025,94.2,
TCK00231,CUST00297,ORD002410,Damaged Product,09-05-2025,23.5,4
TCK00232,CUST00919,ORD003325,Refund Request,30-06-2025,24.5,1
TCK00233,CUST00619,ORD001606,Damaged Product,20-01-2026,76.3,3
TCK00234,CUST00370,ORD005163,Missing Item,16-10-2025,78,4
TCK00235,CUST00024,ORD003740,Missing Item,27-02-2026,31.2,5
TCK00236,CUST00662,ORD003827,Wrong Item,03-12-2025,20.8,5
TCK00237,CUST00329,ORD000813,Late Delivery,13-06-2026,11.9,3
TCK00238,CUST00090,ORD002060,Missing Item,21-11-2025,7.5,3
TCK00239,CUST00355,ORD002519,Product Query,08-10-2025,27,
TCK00240,CUST01022,ORD003623,Damaged Product,17-03-2026,48,4
TCK00241,CUST00175,ORD003673,Refund Request,09-12-2025,13.8,5
TCK00242,CUST00653,ORD000941,Refund Request,28-04-2025,74.4,5
TCK00243,CUST00706,ORD004971,Product Query,09-08-2026,93.4,1
TCK00244,CUST01025,ORD002924,Product Query,19-03-2026,93,2
TCK00245,CUST00779,ORD003057,Damaged Product,30-05-2026,72.9,
TCK00246,CUST00412,ORD005746,Damaged Product,05-10-2025,42.7,
TCK00247,CUST00183,ORD005396,Damaged Product,20-08-2026,31.8,5
TCK00248,CUST00346,ORD004021,Late Delivery,13-09-2025,85.7,5
TCK00249,CUST00420,ORD005742,Missing Item,18-12-2025,61.2,
TCK00250,CUST00891,ORD003397,Refund Request,21-08-2025,95.4,1
TCK00251,CUST00229,ORD004975,Late Delivery,13-06-2025,14.7,2
TCK00252,CUST00294,ORD001518,Missing Item,13-01-2026,42.6,4
TCK00253,CUST00133,ORD000682,Refund Request,26-12-2025,57.4,4
TCK00254,CUST00585,ORD002271,Refund Request,15-09-2025,69,2
TCK00255,CUST00964,ORD002632,Late Delivery,20-07-2025,85.4,5
TCK00256,CUST00077,ORD005928,Refund Request,15-05-2025,37.3,4
TCK00257,CUST00586,ORD002007,Damaged Product,30-06-2025,17.7,
TCK00258,CUST00909,ORD003166,Refund Request,05-04-2026,21.4,4
TCK00259,CUST00973,ORD001057,Wrong Item,09-03-2026,20.9,1
TCK00260,CUST00136,ORD001171,Late Delivery,05-12-2025,44.3,2
TCK00261,CUST00659,ORD000867,Damaged Product,10-03-2026,39.3,
TCK00262,CUST00779,ORD000937,Refund Request,16-07-2026,18.1,4
TCK00263,CUST00545,ORD004143,Missing Item,09-01-2026,86.2,5
TCK00264,CUST00186,ORD002648,Missing Item,27-06-2025,74,2
TCK00265,CUST00544,ORD004619,Refund Request,24-06-2026,22.7,2
TCK00266,CUST01000,ORD003063,Product Query,29-01-2026,54.6,1
TCK00267,CUST00205,ORD005211,Missing Item,13-09-2025,77.8,2
TCK00268,CUST00889,ORD001876,Refund Request,25-09-2025,52.5,
TCK00269,CUST00756,ORD003443,Missing Item,27-04-2025,28.7,4
TCK00270,CUST00237,ORD004482,Damaged Product,12-06-2026,60.9,
TCK00271,CUST00555,ORD004448,Missing Item,03-08-2025,91.7,4
TCK00272,CUST00979,ORD001083,Product Query,19-02-2026,51.1,3
TCK00273,CUST00710,ORD005061,Product Query,21-10-2025,93.3,5
TCK00274,CUST00838,ORD000470,Wrong Item,15-04-2025,94.5,1
TCK00275,CUST00483,ORD004816,Product Query,02-08-2026,8.3,
TCK00276,CUST00048,ORD002344,Wrong Item,14-10-2025,18.9,1
TCK00277,CUST00599,ORD004825,Late Delivery,07-08-2025,29.2,1
TCK00278,CUST00895,ORD001123,Refund Request,01-06-2026,58.5,2
TCK00279,CUST01187,ORD003633,Late Delivery,01-11-2025,92,5
TCK00280,CUST00512,ORD002584,Late Delivery,24-05-2025,40.5,3
TCK00281,CUST00906,ORD004967,Missing Item,03-03-2026,2.3,3
TCK00282,CUST00631,ORD003867,Refund Request,04-02-2026,17,1
TCK00283,CUST00891,ORD001977,Late Delivery,26-07-2026,66.1,
TCK00284,CUST00667,ORD004608,Late Delivery,12-10-2025,95.7,1
TCK00285,CUST00193,ORD003354,Refund Request,05-09-2026,89.5,1
TCK00286,CUST00741,ORD001712,Refund Request,04-07-2026,69.9,
TCK00287,CUST00859,ORD003143,Missing Item,03-09-2026,72.4,3
TCK00288,CUST01138,ORD004657,Damaged Product,26-04-2025,47.3,1
TCK00289,CUST00677,ORD001191,Damaged Product,25-03-2026,22,4
TCK00290,CUST01078,ORD005696,Product Query,25-04-2025,2.5,4
TCK00291,CUST00398,ORD003257,Late Delivery,05-09-2025,76.8,1
TCK00292,CUST00399,ORD004976,Wrong Item,02-07-2025,72.1,1
TCK00293,CUST00686,ORD001961,Refund Request,08-06-2025,77.3,
TCK00294,CUST00792,ORD001386,Refund Request,26-05-2026,3,
TCK00295,CUST00787,ORD002364,Product Query,20-06-2025,3.5,5
TCK00296,CUST00755,ORD000015,Late Delivery,05-08-2026,40.8,1
TCK00297,CUST00025,ORD003823,Wrong Item,22-04-2025,69.8,
TCK00298,CUST00426,ORD001341,Product Query,06-03-2026,10.2,4
TCK00299,CUST01039,ORD002030,Damaged Product,25-01-2026,48.6,5
TCK00300,CUST01022,ORD005817,Product Query,10-10-2025,2.1,2
TCK00301,CUST00221,ORD001193,Late Delivery,28-01-2026,15.3,1
TCK00302,CUST00701,ORD003711,Refund Request,22-05-2026,32.3,1
TCK00303,CUST00176,ORD002882,Product Query,11-08-2026,90.3,4
TCK00304,CUST00229,ORD000617,Refund Request,01-05-2025,14.9,4
TCK00305,CUST00430,ORD004097,Product Query,06-08-2026,41.3,4
TCK00306,CUST00392,ORD002782,Refund Request,11-08-2026,22.4,5
TCK00307,CUST00409,ORD004872,Late Delivery,12-06-2025,85.5,5
TCK00308,CUST00885,ORD005726,Missing Item,24-10-2025,92.3,4
TCK00309,CUST00444,ORD000429,Damaged Product,05-07-2025,9.5,3
TCK00310,CUST01109,ORD004418,Missing Item,25-04-2025,4.4,5
TCK00311,CUST00089,ORD005925,Late Delivery,04-03-2026,75.9,3
TCK00312,CUST00603,ORD001479,Late Delivery,12-05-2026,55.7,
TCK00313,CUST01167,ORD005277,Late Delivery,30-06-2025,66.5,3
TCK00314,CUST00054,ORD005934,Damaged Product,08-09-2026,42.5,4
TCK00315,CUST00075,ORD003171,Product Query,05-01-2026,17,1
TCK00316,CUST00445,ORD003658,Wrong Item,12-10-2025,42.9,
TCK00317,CUST00678,ORD005290,Product Query,26-06-2026,91.7,3
TCK00318,CUST00962,ORD003065,Wrong Item,03-04-2026,39.5,4
TCK00319,CUST00422,ORD005989,Damaged Product,16-01-2026,49.8,4
TCK00320,CUST00104,ORD003287,Damaged Product,13-05-2025,64.3,4
TCK00321,CUST00996,ORD002668,Product Query,14-06-2026,23.8,
TCK00322,CUST00006,ORD003553,Missing Item,02-07-2026,71.9,4
TCK00323,CUST00158,ORD005073,Wrong Item,02-09-2025,84.8,1
TCK00324,CUST00564,ORD004979,Refund Request,24-06-2026,25.3,
TCK00325,CUST00798,ORD003618,Late Delivery,30-08-2025,90.4,4
TCK00326,CUST00519,ORD005149,Damaged Product,22-12-2025,24.4,2
TCK00327,CUST00041,ORD003550,Missing Item,05-07-2025,32,1
TCK00328,CUST01082,ORD004566,Missing Item,14-07-2025,56.6,4
TCK00329,CUST00975,ORD000693,Wrong Item,27-11-2025,25.1,1
TCK00330,CUST00302,ORD004289,Wrong Item,02-08-2026,2.7,1
TCK00331,CUST00729,ORD004695,Late Delivery,20-10-2025,65.6,2
TCK00332,CUST00688,ORD001889,Refund Request,24-05-2026,84.5,3
TCK00333,CUST00507,ORD002448,Missing Item,23-12-2025,88.4,5
TCK00334,CUST00440,ORD005245,Damaged Product,18-04-2025,64.5,2
TCK00335,CUST00608,ORD001755,Missing Item,27-11-2025,62.1,5
TCK00336,CUST00408,ORD002011,Missing Item,09-03-2026,23.8,3
TCK00337,CUST00166,ORD003942,Product Query,12-01-2026,75.9,1
TCK00338,CUST00772,ORD002430,Product Query,15-07-2025,48.5,4
TCK00339,CUST00270,ORD002618,Wrong Item,24-04-2026,88.2,1
TCK00340,CUST00114,ORD001539,Late Delivery,13-06-2025,88.6,4
TCK00341,CUST00723,ORD000171,Damaged Product,31-08-2026,3.6,1
TCK00342,CUST00191,ORD002461,Damaged Product,29-08-2026,42.3,
TCK00343,CUST00818,ORD002810,Missing Item,06-06-2025,7.2,3
TCK00344,CUST00970,ORD002906,Missing Item,07-05-2026,49.2,1
TCK00345,CUST00650,ORD001505,Refund Request,10-07-2025,9.7,5
TCK00346,CUST00173,ORD005561,Wrong Item,17-04-2025,69,5
TCK00347,CUST00259,ORD005993,Missing Item,01-11-2025,52.5,3
TCK00348,CUST01101,ORD002826,Wrong Item,18-08-2025,95.8,4
TCK00349,CUST00448,ORD002054,Damaged Product,19-09-2025,29.4,1
TCK00350,CUST00555,ORD005419,Missing Item,29-09-2025,8.3,1
TCK00351,CUST00745,ORD003753,Product Query,24-04-2025,46.6,3
TCK00352,CUST00819,ORD004316,Damaged Product,16-11-2025,92.3,4
TCK00353,CUST01050,ORD000726,Late Delivery,02-06-2026,72.5,2
TCK00354,CUST00900,ORD001329,Refund Request,14-06-2026,62.4,2
TCK00355,CUST01126,ORD002424,Late Delivery,26-02-2026,7.2,2
TCK00356,CUST00592,ORD005347,Missing Item,19-05-2025,63.7,
TCK00357,CUST00620,ORD003687,Refund Request,12-06-2025,84.1,5
TCK00358,CUST00168,ORD003314,Product Query,12-04-2025,65.3,2
TCK00359,CUST00184,ORD000024,Late Delivery,16-10-2025,7,
TCK00360,CUST00948,ORD001974,Wrong Item,30-11-2025,7.3,1
TCK00361,CUST01170,ORD003428,Missing Item,21-09-2025,76.1,5
TCK00362,CUST00690,ORD000011,Wrong Item,23-08-2026,76.1,2
TCK00363,CUST00430,ORD002170,Product Query,18-01-2026,44.2,1
TCK00364,CUST00045,ORD002712,Damaged Product,16-08-2026,65.9,1
TCK00365,CUST00423,ORD000736,Wrong Item,11-09-2025,62.7,5
TCK00366,CUST00687,ORD003225,Product Query,08-10-2025,43.2,
TCK00367,CUST00019,ORD002106,Late Delivery,03-08-2026,91,2
TCK00368,CUST01024,ORD000035,Refund Request,26-08-2026,71.5,4
TCK00369,CUST00324,ORD005526,Late Delivery,11-06-2026,42.4,
TCK00370,CUST00857,ORD005651,Missing Item,13-03-2026,66.6,
TCK00371,CUST00630,ORD000248,Late Delivery,11-06-2025,62.1,1
TCK00372,CUST00222,ORD004807,Product Query,28-07-2026,57.1,3
TCK00373,CUST00800,ORD004939,Late Delivery,31-03-2026,14.1,4
TCK00374,CUST00312,ORD004212,Wrong Item,21-03-2025,93,3
TCK00375,CUST00921,ORD004121,Product Query,08-04-2026,95.1,
TCK00376,CUST00833,ORD001910,Damaged Product,23-02-2026,19.3,4
